IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度MB/s
47.242.79.71,2087,true,HKG,亚太,香港,41 ms,37.67
8.219.0.162,443,true,SIN,亚太,新加坡,3 ms,37.66
8.210.43.213,8443,true,HKG,亚太,香港,38 ms,37.64
8.217.207.60,2083,true,HKG,亚太,香港,36 ms,37.60
47.242.176.237,2096,true,HKG,亚太,香港,40 ms,37.57
8.218.222.36,8443,true,HKG,亚太,香港,34 ms,37.52
8.218.201.73,2053,true,HKG,亚太,香港,42 ms,37.48
47.243.169.63,2053,true,HKG,亚太,香港,36 ms,37.47
47.76.77.103,2053,true,HKG,亚太,香港,41 ms,37.46
47.242.252.237,2053,true,HKG,亚太,香港,35 ms,37.45
47.238.6.102,8443,true,HKG,亚太,香港,37 ms,37.42
47.242.174.27,2053,true,HKG,亚太,香港,40 ms,37.42
8.218.2.181,2087,true,HKG,亚太,香港,39 ms,37.39
8.217.66.3,2083,true,HKG,亚太,香港,38 ms,37.38
8.219.144.168,443,true,SIN,亚太,新加坡,2 ms,37.37
47.243.173.187,2096,true,HKG,亚太,香港,40 ms,37.37
47.243.183.127,8443,true,HKG,亚太,香港,38 ms,37.36
8.218.201.73,2096,true,HKG,亚太,香港,38 ms,37.36
47.243.70.186,2087,true,HKG,亚太,香港,41 ms,37.34
8.218.81.14,2083,true,HKG,亚太,香港,41 ms,37.34
47.243.198.198,2087,true,HKG,亚太,香港,40 ms,37.27
8.217.121.207,2053,true,HKG,亚太,香港,43 ms,37.27
47.238.6.102,2096,true,HKG,亚太,香港,36 ms,37.26
8.210.107.246,8443,true,HKG,亚太,香港,39 ms,37.26
8.218.173.78,8443,true,HKG,亚太,香港,40 ms,37.25
47.243.139.85,2053,true,HKG,亚太,香港,37 ms,37.25
8.218.174.118,2087,true,HKG,亚太,香港,42 ms,37.21
8.218.207.169,2083,true,HKG,亚太,香港,41 ms,37.20
8.217.123.243,2053,true,HKG,亚太,香港,38 ms,37.19
